P',P,V,LV,D,L,TIPO,A,ES,ARG,CMD,LD,OPRD,COND,CAB,EXP_R,CP
,G-1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,G-3,,,,,,,,,,,,,,
,,,,,,,G-5,G-6,,G-7,,,G-8,G-13,,
,,,G-15,G-16,,G-18,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,G-22,G-6,,G-7,,,G-8,G-13,,
,,,,,,,G-23,G-6,,G-7,,,G-8,G-13,,
,,,,,,,G-24,G-6,,G-7,,,G-8,G-13,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,G-26,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,G-32,,,,,G-34,G-13,,G-31
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,G-40,G-16,,G-18,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,G-38,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,G-43,G-44,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,G-32,,G-33,,,G-34,G-13,,G-47
,,,,,,,,G-32,,G-33,,,G-34,G-13,,G-48
,,,,,,,,G-32,,G-33,,,G-34,G-13,,G-49
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,G-51,,,G-50,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,G-61,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,G-58,,,,
,,,,,,,,,,,,G-59,,,,